,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.411.426.903,26.412.573,29.583.458,"112,01","112,01"
FEV,1.262.604.633,28.079.342,29.454.921,"104,90","108,34"
MAR,1.322.561.807,30.746.883,29.195.565,"94,95","103,51"
ABR,1.385.049.640,31.319.064,29.128.910,"93,01","100,69"
MAI,1.405.294.919,32.547.393,29.632.613,"91,04","98,59"
JUN,1.414.638.894,31.033.645,30.949.909,"99,73","98,78"
JUL,1.461.164.104,33.803.310,31.044.752,"91,84","97,69"
AGO,1.354.195.055,33.371.453,30.874.117,"92,52","96,99"
SET,1.412.594.900,37.727.456,30.840.493,"81,75","94,97"
OUT,1.397.118.941,36.984.747,30.897.298,"83,54","93,66"
NOV,1.459.606.774,40.503.154,30.875.451,"76,23","91,71"
DEZ,1.475.569.398,38.256.797,30.931.393,"80,85","90,67"
TOTAL ACUM.,16.761.825.968,400.785.816,363.408.880,"90,67","90,67"
