,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.411.426.903,26.412.573,29.583.458,"112,01","112,01"
FEV,1.262.604.633,28.079.342,29.454.921,"104,90","108,34"
MAR,1.322.561.807,30.746.883,29.195.565,"94,95","103,51"
ABR,1.385.049.640,31.319.064,29.128.910,"93,01","100,69"
MAI,1.405.294.919,32.547.393,29.632.613,"91,04","98,59"
JUN,1.414.638.894,31.033.645,30.949.909,"99,73","98,78"
JUL,1.461.164.104,33.803.310,31.044.752,"91,84","97,69"
AGO,1.354.195.055,31.810.443,30.874.117,"97,06","97,60"
SET,1.412.594.900,36.135.214,30.840.493,"85,35","96,03"
OUT,1.397.118.941,35.388.762,30.897.298,"87,31","95,06"
NOV,1.459.606.774,37.284.966,30.875.451,"82,81","93,77"
DEZ,1.475.569.398,35.823.460,30.931.393,"86,34","93,09"
TOTAL ACUM.,16.761.825.968,390.385.054,363.408.880,"93,09","93,09"
