,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,1.837.648.433,45.909.017,37.216.131,"81,06","81,06"
FEV,1.510.025.307,38.102.021,38.851.359,"101,97","90,54"
MAR,1.941.113.490,46.998.247,39.269.019,"83,55","88,04"
ABR,1.885.049.640,46.345.319,39.405.920,"85,03","87,25"
MAI,1.928.557.524,46.844.823,39.001.016,"83,26","86,42"
JUN,1.963.208.098,48.178.433,42.086.590,"87,36","86,58"
JUL,2.000.973.331,48.530.464,41.213.076,"84,92","86,33"
AGO,1.982.188.047,46.877.896,42.218.360,"90,06","86,81"
SET,2.024.722.601,47.053.193,42.218.024,"89,72","87,14"
OUT,2.041.463.889,47.017.745,42.438.981,"90,26","87,46"
NOV,2.069.885.147,48.183.671,42.311.269,"87,81","87,49"
DEZ,2.061.903.835,45.886.305,42.180.673,"91,92","87,86"
TOTAL ACUM.,23.246.739.342,555.927.135,488.410.418,"87,86","87,86"
