,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,4.110.123.794,98.611.716,76.052.579,"77,12","77,12"
FEV,3.645.742.610,86.395.190,76.069.187,"88,05","82,22"
MAR,3.667.452.610,89.671.637,76.296.590,"85,08","83,16"
ABR,3.876.231.745,93.883.358,76.132.098,"81,09","82,63"
MAI,4.005.822.532,99.218.224,77.852.926,"78,47","81,75"
JUN,3.967.820.768,100.811.777,84.839.063,"84,16","82,18"
JUL,4.018.745.273,105.574.479,82.667.331,"78,30","81,57"
AGO,4.100.959.491,107.546.633,83.108.044,"77,28","80,98"
SET,4.192.430.024,109.063.888,85.518.161,"78,41","80,66"
OUT,4.297.506.354,114.827.013,84.170.262,"73,30","79,82"
NOV,4.391.638.077,121.456.951,84.541.922,"69,61","78,72"
DEZ,4.345.821.939,103.971.287,84.604.162,"81,37","78,95"
TOTAL ACUM.,48.620.295.217,1.231.032.153,971.852.325,"78,95","78,95"
Notas:,,,,,
