,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,6.311.612.661,147.153.076,121.672.051,"82,68","82,68"
FEV,6.329.351.777,136.105.237,120.353.566,"88,43","85,44"
MAR,6.456.724.403,129.513.404,120.441.217,"93,00","87,81"
ABR,6.503.817.762,141.873.292,120.067.859,"84,63","87,00"
MAI,6.680.322.219,145.284.911,126.335.022,"86,96","86,99"
JUN,6.694.774.120,139.893.926,133.508.430,"95,44","88,40"
JUL,6.714.958.238,142.446.041,131.043.627,"92,00","88,92"
AGO,6.814.096.076,142.700.377,132.467.197,"92,83","89,41"
SET,6.914.875.423,149.138.576,131.796.885,"88,37","89,29"
OUT,7.097.439.253,152.031.200,131.746.737,"86,66","89,01"
NOV,7.171.272.567,153.287.728,132.672.853,"86,55","88,77"
DEZ,7.682.067.184,159.419.840,138.649.704,"86,97","88,61"
TOTAL ACUM.,81.371.311.683,1.738.847.608,1.540.755.148,"88,61","88,61"
Notas:,,,,,
