tipo,sequencial,especificacao,valor,ano
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1,VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,"2.825.943.136,45",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1,"Exploração e Venda de Bens, Serviços e Direitos","574.247.591,52",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.1,Receita de Produção Animal e Derivados,-,2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.2,Incorporação de Bens de Estoque,"124.785.834,80",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.3,Receitas de Alugueis,"1.572.731,08",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.4,Serviços de Saúde (SUS),"220.377.861,59",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.5,Serviços Administrativos,"11.580,72",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.6,Serviços Educacionais,"1.763.272,54",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.1.7,Outras VPA provenientes de Prestação de Serviços,"225.736.310,79",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.2,Variações Patrimoniais Aumentativas Financeiras,"152.859.102,17",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.2.1,Juros e Encargos de Mora,"132.710,44",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.2.2,Remuneração de Depósitos Bancários e Aplicações Financeiras,"147.882.505,80",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.2.3,Outras Variações Patrimoniais Aumentativas – Financeiras,"4.843.885,93",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.3,Transferências e Delegações Recebidas,"524.099.438,70",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.3.1,Transferências Intragovernamentais (FUNDES),"423.303.504,67",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.3.2,Transferências Intergovernamentais (Convênios Federais),"15.837.286,16",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.3.3,Transferências Não Financeiras Recebidas - Indep. De Execução Orçamentária,"84.958.647,87",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.4,Valorização e Ganhos Com Ativos,"57.931,01",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.4.1,Venda de bens,"57.931,01",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.5,Outras Variações Patrimoniais Aumentativas,"1.574.679.073,05",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.5.1,Reversão de Provisões e Ajustes de Perdas,"6.638.442,29",2015
VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,1.5.2,Diversas Variações Patrimoniais Aumentativas,"1.568.040.630,76",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2,VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,"2.810.967.384,53",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.1,Pessoal e Encargos,"2.076.014.661,22",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.1.1,Remuneração a Pessoal,"1.428.121.853,84",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.1.2,Encargos Patronais,"552.164.592,34",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.1.3,Outras Variações Patrimoniais Diminutivas - Pessoal e Encargos,"95.728.215,04",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.2,Benefícios Previdenciários e Assistenciais,"37.315.081,77",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.2.1,Aposentadorias e Reformas,"4.067.000,00",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.2.2,Pensões,"44.132,76",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.2.3,Outros Benefícios Previdenciários e Assistenciais,"33.203.949,01",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.3,"Uso de Bens, Serviços e Consumo de Capital Fixo","497.439.117,66",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.3.1,Uso de Material de Consumo,"260.485.453,25",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.3.2,Serviços,"236.953.664,41",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.3.3,"Custo de Materiais, Serviços e Consumo de Capital Fixo",-,2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.4,Transferências e Delegações Concedidas,"169.847.475,92",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.4.1,Transferências Não Financeiras Concedidas - Indep. De Execução Orçamentária,"425.898,46",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.4.2,Convênios com Entidades Privadas Sem Fins Lucrativos,"168.935.356,70",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.4.3,Outros Serviços de Terceiros,"486.220,76",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.5,Desvalorização e Perda de Ativos,"974.293,49",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.5.1,Perdas Involuntárias,"974.293,49",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.6,Tributarias,"21.542.478,10",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.6.1,"mpostos, Taxas e Contribuições de Melhoria","95.871,00",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.6.2,Contribuições,"21.446.607,10",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.7,Outras Variações Patrimoniais Diminutivas,"7.834.276,37",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.7.1,Premiações,"93.440,00",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.7.2,Incentivos,"200.789,71",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.7.3,VPD de Constituição de Provisões,"7.230.026,93",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,2.7.4,Custo de Outras VPD,"310.019,73",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,TOTAL,Resultado Patrimonial do Período,"14.975.751,92",2015
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,1,VARIAÇÕES PATRIMONIAIS AUMENTATIVAS,"3.029.325.427,92",2014
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,1.1,"Exploração e Venda de Bens, Serviços e Direitos","616.663.303,00",2014
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,1.1.1,Receita de Produção Animal e Derivados,"100.379,79",2014
VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,1.1.2,Incorporação de Bens de Estoque,"135.150.165,33",2014
,1.1.3,Receitas de Alugueis,"1.285.418,99",2014
,1.1.4,Serviços de Saúde (SUS),"213.783.799,22",2014
,1.1.5,Serviços Administrativos,"5.971,48",2014
,1.1.6,Serviços Educacionais,"1.981.921,38",2014
,1.1.7,Outras VPA provenientes de Prestação de Serviços,"264.355.646,81",2014
,1.2,Variações Patrimoniais Aumentativas Financeiras,"592.870.353,78",2014
,1.2.1,Juros e Encargos de Mora,"176.052,82",2014
,1.2.2,Remuneração de Depósitos Bancários e Aplicações Financeiras,"106.988.697,09",2014
,1.2.3,Outras Variações Patrimoniais Aumentativas – Financeiras,"485.705.603,87",2014
,1.3,Transferências e Delegações Recebidas,"489.387.732,17",2014
,1.3.1,Transferências Intragovernamentais (FUNDES),"387.335.788,95",2014
,1.3.2,Transferências Intergovernamentais (Convênios Federais),"34.281.966,46",2014
,1.3.3,Transferências Não Financeiras Recebidas - Indep. De Execução Orçamentária,"67.769.976,76",2014
,1.4,Valorização e Ganhos Com Ativos,"154.143,85",2014
,1.4.1,Venda de bens,"154.143,85",2014
,1.5,Outras Variações Patrimoniais Aumentativas,"1.330.249.895,12",2014
,1.5.1,Reversão de Provisões e Ajustes de Perdas,"4.252.301,29",2014
,1.5.2,Diversas Variações Patrimoniais Aumentativas,"1.325.997.593,83",2014
,2,VARIAÇÕES PATRIMONIAIS DIMINUTIVAS,"2.643.541.675,61",2014
,2.1,Pessoal e Encargos,"2.076.418.906,18",2014
,2.1.1,Remuneração a Pessoal,"1.425.013.422,05",2014
,2.1.2,Encargos Patronais,"538.119.124,33",2014
,2.1.3,Outras Variações Patrimoniais Diminutivas - Pessoal e Encargos,"113.286.359,80",2014
,2.2,Benefícios Previdenciários e Assistenciais,"33.237.670,69",2014
,2.2.1,Aposentadorias e Reformas,"3.910.000,00",2014
,2.2.2,Pensões,"52.729,97",2014
,2.2.3,Outros Benefícios Previdenciários e Assistenciais,"29.274.940,72",2014
,2.3,"Uso de Bens, Serviços e Consumo de Capital Fixo","507.579.817,19",2014
,2.3.1,Uso de Material de Consumo,"272.665.470,86",2014
,2.3.2,Serviços,"234.561.228,55",2014
,2.3.3,"Custo de Materiais, Serviços e Consumo de Capital Fixo","353.117,78",2014
,2.4,Transferências e Delegações Concedidas,"1.195.459,00",2014
,2.4.1,Transferências Não Financeiras Concedidas - Indep. De Execução Orçamentária,"589.738,92",2014
,2.4.2,Convênios com Entidades Privadas Sem Fins Lucrativos,-,2014
,2.4.3,Outros Serviços de Terceiros,"605.720,08",2014
,2.5,Desvalorização e Perda de Ativos,"1.108.667,90",2014
,2.5.1,Perdas Involuntárias,"1.108.667,90",2014
,2.6,Tributarias,"19.488.883,75",2014
,2.6.1,"mpostos, Taxas e Contribuições de Melhoria","11.798,78",2014
,2.6.2,Contribuições,"19.477.084,97",2014
,2.7,Outras Variações Patrimoniais Diminutivas,"4.512.270,90",2014
,2.7.1,Premiações,"98.150,00",2014
,2.7.2,Incentivos,-,2014
,2.7.3,VPD de Constituição de Provisões,"4.414.120,90",2014
,2.7.4,Custo de Outras VPD,-,2014
,TOTAL,Resultado Patrimonial do Período,"385.783.752,31",2014
